ID,Release Group,Runtime ,Metascore,Rated,Year,Genre 1,Genre 2,Genre 3,Sequel
1038,Killers of the Flower Moon,3h 26m,89,14A,2023,Crime,Drama,History,FALSE
1039,Evil Dead Rise,1h 36m,69,18A,2023,Horror,,,FALSE
1040,The Exorcist: Believer,1h 51m,39,14A,2023,Horror,,,TRUE
1041,Shazam! Fury of the Gods,2h 10m,47,PG,2023,Action,Adventure,Fantasy,TRUE
1042,Blue Beetle,2h 7m,61,PG,2023,Action,Adventure,Fantasy,FALSE
1043,A Haunting in Venice,1h 43m,63,PG,2023,Horror,Mystery,Thriller,FALSE
1044,Gran Turismo,2h 14m,48,PG,2023,Action,Drama,Sport,FALSE
1045,Haunted Mansion,2h 3m,47,PG,2023,Comedy,Family,Fantasy,FALSE
1046,Poor Things,2h 21m,88,18A,2023,Comedy,Drama,Fantasy,FALSE
1047,Godzilla Minus One,2h 4m,81,PG,2023,Action,Adventure,Science-Fiction,TRUE
1048,Pathaan,2h 26m,47,14A,2023,Action,Thriller,,FALSE
1049,Saw X,1h 58m,60,18A,2023,Horror,Mystery,Thriller,FALSE
1050,Detective Conan: Black Iron Submarine,1h 49m,,,2023,Animation,Mystery,,FALSE
1051,The Creator,2h 13m,63,PG,2023,Drama,Mystery,,FALSE
802,Avatar: The Way of Water,3h 12m,67,PG,2022,Action,Adventure,Fantasy,TRUE
803,Top Gun: Maverick,2h 10m,78,PG,2022,Action,Drama,,TRUE
804,Jurassic World Dominion,2h 27m,38,PG,2022,Action,Adventure,Science-Fiction,TRUE
805,Doctor Strange in the Multiverse of Madness,2h 6m,60,PG,2022,Action,Adventure,Fantasy,TRUE
806,Minions: The Rise of Gru,1h 27m,56,PG,2022,Animation,Adventure,Comedy,TRUE
807,Black Panther: Wakanda Forever,2h 41m,67,PG,2022,Action,Adventure,Thriller,TRUE
808,The Batman,2h 56m,72,PG,2022,Action,Crime,Drama,TRUE
809,Thor: Love and Thunder,1h 58m,57,PG,2022,Action,Adventure,Fantasy,FALSE
810,Water Gate Bridge,2h 33m,,13+,2022,Drama,Mystery,,FALSE
811,Puss in Boots: The Last Wish,1h 42m,73,PG,2022,Animation,Adventure,Comedy,TRUE
812,Moon Man,2h 2m,,,2022,Science-Fiction,,,FALSE
813,Fantastic Beasts: The Secrets of Dumbledore,2h 22m,47,PG,2022,Adventure,Family,Fantasy,TRUE
814,Uncharted,1h 56m,45,PG,2022,Action,Adventure,,TRUE
815,Sonic the Hedgehog 2,2h 2m,47,PG,2022,Action,Adventure,Comedy,TRUE
816,Black Adam,2h 5m,41,PG,2022,Action,Adventure,Fantasy,TRUE
817,Elvis,2h 39m,64,PG,2022,Biography,Drama,Music,TRUE
818,The Bad Guys,1h 40m,64,PG,2022,Animation,Action,Comedy,FALSE
819,Bullet Train,2h 7m,49,14A,2022,Action,Thriller,,FALSE
820,Lightyear,1h 45m,60,PG,2022,Animation,Adventure,Comedy,TRUE
821,Smile,1h 55m,68,14A,2022,Drama,Romance,,FALSE
822,Too Cool to Kill,1h 49m,,,2022,Comedy,Crime,,FALSE
823,Nice View,1h 46m,,,2022,Drama,Mystery,,FALSE
824,DC League of Super-Pets,1h 45m,56,PG,2022,Animation,Action,Adventure,TRUE
825,The Lost City,1h 52m,60,PG,2022,Comedy,Action,,FALSE
826,M3GAN,1h 42m,72,14A,2022,Horror,Science-Fiction,,FALSE
827,One Piece Film: Red,1h 55m,69,PG,2022,Animation,Action,Adventure,TRUE
828,Nope,2h 10m,77,14A,2022,Horror,Mystery,Thriller,FALSE
829,Ticket to Paradise,1h 44m,50,PG,2022,Comedy,Romance,,FALSE
830,Morbius,1h 44m,35,PG,2022,Action,Adventure,Fantasy,FALSE
831,RRR,3h 7m,83,14A,2022,Action,Drama,,FALSE
832,The Black Phone,1h 43m,65,14A,2022,Horror,Mystery,Thriller,FALSE
833,The First Slam Dunk,2h 4m,79,PG,2022,Drama,Sport,,FALSE
834,Where the Crawdads Sing,2h 5m,43,PG,2022,Crime,Drama,Mystery,FALSE
835,Everything Everywhere All at Once,2h 19m,81,PG,2022,Action,Comedy,Science-Fiction,FALSE
